index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
959,"(디지털디자인) 디지털(그래픽, 웹, 앱, 모바일)디자인 실무자 양성과정",삼성직업전문학교,97,4188920,25,71.2,34.0,08_문화 예술 디자인 방송,디지털디자인
960,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,40.0,08_문화 예술 디자인 방송,빅데이터
961,"3D에코실내건축디자인(캐드,맥스,인테리어)",이젠컴퓨터아트서비스학원,120,3371400,20,65.2,26.0,08_문화 예술 디자인 방송,
962,"영상편집&모션그래픽제작(프리미어,에펙)",부산더조은직업전문학교,48,1067610,20,43.8,32.0,08_문화 예술 디자인 방송,영상
963,디자인편집과영상편집&유튜브영상제작,배움회계캐드컴퓨터학원,48,1067610,10,43.6,33.0,08_문화 예술 디자인 방송,유튜브
964,"영상편집&모션그래픽제작(프리미어,에펙)",부산더조은직업전문학교,38,1067610,20,43.8,31.0,08_문화 예술 디자인 방송,영상
965,(게임콘텐츠제작) 온라인게임 운영 및 프로그래밍 제작자 양성과정 (3),아텐츠게임아카데미,129,4822790,30,54.4,25.0,08_문화 예술 디자인 방송,게임
966,디지털UIUX웹퍼블리셔디자인,라인컴퓨터아트학원,92,3933300,30,58.3,25.0,08_문화 예술 디자인 방송,
967,3D프린팅 디자인 양성과정,재단법인 이찬 경북직업전문학교,119,3989490,20,67.9,28.0,08_문화 예술 디자인 방송,
968,3D프린터운용(CAD+3D모델링),동양직업전문학교,70,3146640,20,76.5,24.0,08_문화 예술 디자인 방송,3D프린터
969,(게임콘텐츠제작) 게임그래픽전문가 양성 A,국제컴퓨터아카데미,90,4486320,20,78.8,25.0,08_문화 예술 디자인 방송,게임
970,마야(MAYA) 3D그래픽 애니메이션 양성과정,강남 그린컴퓨터아카데미,55,1900450,20,49.3,28.0,08_문화 예술 디자인 방송,
971,"(멀티미디어콘텐츠제작) 영상 (프리미어,에프터이펙트) 크리에이터 과정 4 G",강남 그린컴퓨터아카데미,142,5296350,30,41.4,26.0,08_문화 예술 디자인 방송,멀티미디어
972,"디지털영상편집디자인 및 모션그래픽제작(포토샵,일러스트,프리미어,에펙)",(주)울산KH정보교육원,50,1123800,20,35.6,28.0,08_문화 예술 디자인 방송,포토샵
973,프론트엔드 디자인(웹디자인&웹퍼블리싱) 1차,(재)부산인재개발원 부산IT교육센터,109,4270440,25,65.0,26.0,08_문화 예술 디자인 방송,웹디자인
974,[과정평가형] 반응형 앱 & 웹디자인 콘텐츠 제작 B,더조은컴퓨터아트학원,75,3539400,20,74.6,26.0,08_문화 예술 디자인 방송,웹디자인
975,3D프린터를활용한 제품디자인,중앙직업전문학교,120,4467100,22,69.1,31.0,08_문화 예술 디자인 방송,3D프린터
976,스마트기기 UI/UX 웹디자인(웹퍼블리셔) B,이젠아카데미,94,3933300,20,66.7,25.0,08_문화 예술 디자인 방송,웹디자인
977,반응형웹제작실무(프론트앤드),부산더조은직업전문학교,47,1573320,20,43.8,30.0,08_문화 예술 디자인 방송,
978,게임 알고리즘 및 엔진 프로그래밍 양성과정,서울게임아카데미부산학원,120,2243160,11,56.9,24.0,08_문화 예술 디자인 방송,게임
979,디지털디자인(멀티미디어웹) 양성,(주)탑디자인학원,42,899040,10,55.4,29.0,08_문화 예술 디자인 방송,멀티미디어
