,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
679,(가구설계제작)가구설계제작A,은곡직업전문학교,133,7811580,20,80.4,28,서울,노원구
680,그래픽디자인입문(포토샵+일러스트)+GTQ자격증 실기,인천구월그린컴퓨터아트학원,23,855160,20,48.8,26,인천,남동구
681,가죽공예 가방제작양성과정,평생문화직업전문학원,18,936950,11,18.2,40,전북,전주시
682,편집디자인(전자출판&e-book)디자이너(비)A,더조은아이티아카데미학원,80,4392320,20,,,서울,서대문구
683,보석디자인 실업자 양성 A,애림직업전문학교,145,7930190,20,63.2,,전북,익산시
684,파티웨딩플라워 디자인과정,그래머시플라워학원,13,828980,20,37.3,33,경기,수원시
685,유러피언 플라워 디자인 과정,림스꽃예술학원,12,573910,20,25,34,전북,전주시
686,플로럴컬러리스트 자격취득,제이플로리스트학원,16,1173780,12,28.3,46,서울,서초구
687,"(출판)편집디자인(포토샵,일러스트,인디자인,E-Book,포트폴리오) B",하이미디어컴퓨터디자인학원,75,4092640,20,51.3,26,경기,고양시
688,화훼장식전문가양성,서울플라워디자인학원,12,669560,15,36.4,,서울,마포구
689,"NCS기반 물레성형,물레정형",숲속의빈터도예학원,23,1275360,10,,45,경기,성남시
690,"플로리스트 기초 상품 제작(꽃다발,꽃바구니,꽃꽂이상품)",혜인즈블라썸플로리스트화훼학원,14,669560,18,25.4,33,서울,강남구
691,"플라워샵 절화상품 제작 향상과정 (꽃다발, 꽃바구니, 부케)",안단테꽃예술직업학교,12,673910,22,35.2,31,서울,강남구
692,화훼장식기능사 국가자격증(실기),혜인즈블라썸플로리스트화훼학원,14,781150,12,25.4,33,서울,강남구
693,[플립드러닝] 출판편집디자인 양성과정-B,그린컴퓨터아트학원,92,4527360,20,68.8,,대전,서구
694,출판편집(전자출판&e-book)디자이너 양성,더조은컴퓨터아트학원,90,4527360,20,59.4,,서울,마포구
695,화훼장식기능사 취득(실기),그래머시플라워학원,10,697680,20,37.3,32,경기,수원시
696,가죽공예입문반,담지가죽공예학원,26,771730,12,,39,경기,의정부시
697,화훼장식기능사 취득과정,제이플로랄스타일링학원,24,956520,20,,,광주,동구
698,"출판편집디자인(포토샵, 일러스트, 인디자인, e-book)",하이컴퓨터그래픽전산회계학원,90,4527360,22,,28,경기,안산시
699,가죽공예 가방제작 구직자 심화반,평생문화센터강동교육원,15,797000,20,38.5,37,서울,강동구
700,플라워샵 취업 및 창업과정,한국평생교육원,22,1052170,15,27.5,28,부산,사상구
701,트랜드 화훼상품 제작(꽃다발+꽃꽂이),림스꽃예술학원,16,765210,13,25,42,전북,전주시
702,편집디자인(전자출판&e-book)디자이너(비)A,더조은컴퓨터아트학원,80,4392320,20,59.4,26,서울,마포구
703,(보석디자인) 귀금속가공 및 보석디자인 양성,(주)엠제이씨보석직업전문학교(MJC보석직업전문학교),132,8125520,20,92.8,31,서울,종로구
704,플로리스트 실무자 양성과정,안단테꽃예술직업학교,17,797100,22,35.2,37,서울,강남구
705,화훼장식 기능사 통합과정,관인미솔꽃조경학원,30,1195650,20,,,인천,서구
706,(출판)전자출판실무자양성_원격혼합,부산예일직업전문학교,79,4281750,30,,34,부산,부산진구
707,플로리스트양성과정,예정플로랄디자인학원,20,1107960,20,50,26,대구,남구
708,(가구설계제작)가구설계제작취업자양성과정,영진직업전문학교,141,7811580,22,66.7,,대구,동구
709,플로리스트 구직 양성 과정,원스플라워디자인학원,42,2008690,12,,33,경북,포항시
