,과정명,학원명,기간,훈련비,정원,취업률,연령대
1467,프론트엔드 디자인(웹디자인&웹퍼블리싱) 1차,(재)부산인재개발원 부산IT교육센터,109,4270440,25,65,26
1468,[과정평가형] 반응형 앱 & 웹디자인 콘텐츠 제작 B,더조은컴퓨터아트학원,75,3539400,20,74.6,26
1469,3D프린터를활용한 제품디자인,중앙직업전문학교,120,4467100,22,69.1,31
1470,스마트기기 UI/UX 웹디자인(웹퍼블리셔) B,이젠아카데미,94,3933300,20,66.7,25
1471,(과정평가형자격)웹디자인기능사A,비젼직업전문학교,75,3480410,30,,33
1472,반응형웹제작실무(프론트앤드),부산더조은직업전문학교,47,1573320,20,43.8,30
1473,게임 알고리즘 및 엔진 프로그래밍 양성과정,서울게임아카데미부산학원,120,2243160,11,56.9,24
1474,디지털디자인(멀티미디어웹) 양성,(주)탑디자인학원,42,899040,10,55.4,29
1475,(게임콘텐츠제작)스타트업 게임 기획&프로그래밍 전문가 양성과정-1,주식회사경일게임아카데미,109,5420970,30,69.7,25
1476,Unity 3D 게임 프로그래머 양성과정A,주식회사경일게임아카데미,109,5420970,20,69.7,25
1477,"그래픽디자인(포토샵 GTQ1급, 일러스트GTQi2급)기초+활용과정",미래컴퓨터아트학원,31,810730,10,,34
1478,"디지털디자인 영상제작편집(프리미어,에프터이펙트)",그린컴퓨터아트학원,91,2528550,20,,27
1479,"포토샵,일러스트 활용 그래픽디자인실무",연세직업전문학교,40,899040,20,,31
1480,"UI/UX 웹디자인 실무자 양성과정(웹퍼블리셔,프론트엔드)(혼합훈련)",더조은컴퓨터아카데미,79,3859930,25,61.2,28
1481,"UI/UX 웹디자인 실무자 양성(웹퍼블리셔,프론트엔드)",인천더조은컴퓨터아트학원,90,4045680,20,70.2,25
1482,"디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정 B",그린컴퓨터아트학원,95,4270440,20,76.9,23
1483,웹디자인과 웹퍼블리셔 전문가 양성(디지털디자인)B,연세직업전문학교,96,4270440,20,62.9,28
1484,"스마트콘텐츠 디자인&영상편집(프리미어,애펙)",더조은컴퓨터아트학원,50,1246200,20,37.8,32
1485,"[플립드러닝]스마트광고콘텐츠_웹퍼블리셔(UI/UX)&영상편집(유튜브,에펙)",그린컴퓨터아카데미광주학원,109,5296350,20,,26
1486,광고사진작가 양성 및 사진기능사 취득과정,뷰사진학원,76,1990340,10,,32
1487,"영상편집(유투브,프리미어,애프터이펙트)실무",그린컴퓨터아카데미,50,1869300,20,,30
1488,영상편집(프리미어프로+애프터이펙트)&유튜브크리에이터,중앙직업전문학교,75,1869300,20,,35
1489,시각디자인GTQ자격취득(일러스트&포토샵),더조은아이티아카데미학원,20,758560,20,32.9,32
1490,"그래픽디자인입문(포토샵,일러스트)양성",인천구월그린컴퓨터아트학원,24,674280,20,43.2,
