,과정명,학원명,기간,훈련비,정원,취업률,연령대
826,한식조리기능사 자격 취득과정(이론+실기),하나요리학원,27,835450,14,51.4,41
827,바리스타1급 자격취득과정,라스또리아광주커피학원,27,703370,18,57.1,34
828,일식조리기능사 취득과정(이론+실기),통영조리직업전문학교,27,607600,13,56.9,45
829,커피바리스타 실무 및 자격증 취득과정,한양요리제빵직업전문학교,37,1139000,12,42.9,37
830,한식조리기능사과정,무궁화요리학원,53,1207600,12,29.2,58
831,일식조리기능사 자격 취득과정(이론+실기),김경묘요리학원,23,698740,10,36.4,28
832,바리스타 2급 자격취득 단기과정(필기/실기)+라떼아트,대전커피문화식음료학원,20,615680,12,,28
833,한식조리기능사자격취득과정,(주)씨아이케이한국외식조리직업전문학교(CIK),37,835450,24,60.6,47
834,한식조리기능사(이론/실기),동래요리학원,27,820260,9,63,48
835,한식조리사자격증취득(이론+실기),신동경요리커피학원,27,820260,14,37.2,44
836,커피바리스타2급(필기+실기),한국외식제과직업전문학교,24,738810,18,35.5,26
837,바리스타 2급 자격증 및 카페실무과정,전주요리제과제빵학원,36,1108220,18,56,34
838,커피바리스타 양성과정(2급자격증포함),한솔요리제과제빵아카데미,37,1139000,20,37.7,34
839,한식조리기능사 자격취득과정(이론/실기),한국제일요리커피학원,27,820260,20,46.4,34
840,한식조리기능사 자격취득과정(이론+실기),양산음식나라조리학원,27,820260,15,54.5,40
841,커피 바리스타2급 자격증 양성반,존스커피바리스타학원,20,615680,16,,36
842,커피바리스타 2급자격증 취득과정,커피인바리스타학원,15,461760,12,42.9,33
843,중식조리기능사 자격취득(실무포함),효성직업능력개발원,33,751900,14,58.4,44
844,중식조리기능사 취득 (이론+실기),경남요리제과제빵커피학원,20,607600,18,50,45
845,양식자격증취득과정(필기+실기),한솔요리아카데미 강동,22,718360,20,48.1,35
846,한식계절실무메뉴,한솔요리아카데미 강동,26,733550,20,48.1,39
847,바리스타 양성 및 자격증 취득과정,군산명문요리직업전문학교,40,915820,12,53.4,47
848,일식조리 오로시스시과정,타츠원스시아카데미학원,33,1599500,10,58.3,36
849,한식조리사 자격증 취득과정(실기),중앙요리학원,36,812660,20,38.1,42
850,커피관리 로스팅&커핑과정,커피문화원직업전문학교,27,831160,16,47.1,37
851,커피 바리스타 베이직반 (바리스타 2급자격증 실기),한솔제과제빵커피바리스타학원,25,769600,15,28.8,34
852,바리스타 양성과정(2급바리스타),통영수석커피교육학원,19,838860,12,30.4,42
853,커피 바리스타 양성자과정 (바리스타2급+홈카페마스터),경남커피교육학원,38,1174400,14,46.9,37
854,커피바리스타 양성과정(2급자격취득+핸드드립+라떼아트),창원식음료직업학교,21,985080,12,,39
855,커피 바리스타 디저트(베이커리)카페 실무,경일직업능력개발원,37,1139000,18,29.8,39
