,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
6599,네일미용기능사취득,가람미용학원,66,1940400,12,46.5,33.0,전남,목포시,12_미용숙박여행오락스포츠,네일아트
6600,미용사(네일) 자격증취득,수원뷰티실용전문학교,75,1940400,20,73.2,35.0,경기,수원시,12_미용숙박여행오락스포츠,네일아트
6601,미용사(피부) 자격증 취득 과정,자아연토탈미용학원,86,1668740,20,58.8,32.0,경남,김해시,12_미용숙박여행오락스포츠,피부관리사
6602,미용사일반(헤어)자격증 취득과정,(주)에르모소뷰티직업전문학교김포점,80,2069760,15,66.0,39.0,경기,김포시,12_미용숙박여행오락스포츠,헤어디자이너
6603,헤어자격증취득과정,뷰티랩아카데미학원,53,2050350,20,85.7,32.0,서울,강남구,12_미용숙박여행오락스포츠,헤어디자이너
6604,미용사(메이크업)자격증 취득과정,에르모소뷰티직업전문학교 안양점,65,1681680,10,70.1,29.0,경기,안양시,12_미용숙박여행오락스포츠,헤어디자이너
6605,헤어미용사 자격증,일산에르모소직업전문학교,76,1959800,14,70.5,37.0,경기,고양시,12_미용숙박여행오락스포츠,헤어디자이너
6606,미용사(일반)헤어자격증,엠뷰티아카데미,68,1759290,20,73.8,31.0,서울,양천구,12_미용숙박여행오락스포츠,헤어디자이너
6607,왁싱(제모)과정,주식회사에르모소뷰티직업전문학교,12,310460,10,57.8,37.0,서울,마포구,12_미용숙박여행오락스포츠,왁싱전문가
6608,미용사(피부)자격증 취득과정,궁전요리제빵미용직업전문학교,50,1293600,10,56.9,31.0,전북,전주시,12_미용숙박여행오락스포츠,피부관리사
6609,피부미용실무반,국제미용직업전문학교,40,776160,10,77.7,36.0,전북,군산시,12_미용숙박여행오락스포츠,피부관리사
6610,네일미용 현장실무과정,이행숙뷰티아카데미,60,1552320,10,58.3,37.0,서울,강남구,12_미용숙박여행오락스포츠,네일아트
6611,미용사(메이크업) 자격증,상주미용전문학원,65,1681680,10,96.0,33.0,경북,상주시,12_미용숙박여행오락스포츠,헤어디자이너
6612,미용사(일반)기능사취득,씨티우먼뷰티아카데미학원,73,1888650,10,53.3,32.0,경남,진주시,12_미용숙박여행오락스포츠,헤어디자이너
6613,(일반고 특화)미용사(일반)자격증 취득 및 기초실무양성,일산비비에스미용학원,77,3706680,18,68.3,,경기,고양시,12_미용숙박여행오락스포츠,헤어디자이너
