,Unnamed: 0,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
1446,2180,"영상편집(프리미어,에프터이펙트) 전문가 양성",인천 그린컴퓨터아카데미,49,1629510,20,45.5,,08_문화 예술 디자인 방송,영상
1447,2182,"디지털영상편집디자인(프리미어,에펙)",더조은퍼스트컴퓨터바리스타학원,34,758560,20,35.2,,08_문화 예술 디자인 방송,디자인
1448,2185,프론트엔드 디자인(웹디자인&웹퍼블리싱) 2차,(재)부산인재개발원 부산IT교육센터,109,4270440,25,65.0,,08_문화 예술 디자인 방송,디자인
1449,2186,"디자인(시각,편집,웹광고) 전문가 양성 과정",인천직업전문학교,78,3034260,20,63.8,,08_문화 예술 디자인 방송,디자인
1450,2187,"영상편집&모션그래픽제작(프리미어,에펙)",더조은컴퓨터학원,38,1067610,20,38.1,,08_문화 예술 디자인 방송,영상
1451,2189,(멀티미디어콘텐츠제작)스마트문화앱콘텐츠 개발자 양성과정-원격+집체,new광주직업전문학교(북구),93,3919670,20,33.3,,08_문화 예술 디자인 방송,콘텐츠
1452,2190,디지털디자인 양성과정,창원직업전문학교,93,3596160,20,67.9,30.0,08_문화 예술 디자인 방송,디자인
1453,2192,"시각영상편집디자인(일러스트,포토샵,프리미어,에펙,모션그래픽)양성과정",그린컴퓨터아카데미 부산,38,1067610,20,54.5,,08_문화 예술 디자인 방송,디자인
1454,2193,"그래픽디자인실무&그래픽자격증취득(포토샵,일러스트)",셈틀회계캐드그래픽컴퓨터학원,38,842850,15,80.0,,08_문화 예술 디자인 방송,디자인
1455,2194,"시각디자인(일러스트,포토샵,인디자인,디지털매체광고)",그린컴퓨터아카데미,85,3820920,20,78.8,24.0,08_문화 예술 디자인 방송,디자인
1456,2195,스마트 UX/UI 웹디자인,인천직업전문학교,86,3371400,20,63.8,,08_문화 예술 디자인 방송,디자인
1457,2198,"디지털영상편집디자인(프리미어,에펙)",더조은컴퓨터아트학원,35,1573320,20,45.3,,08_문화 예술 디자인 방송,디자인
1458,2199,"스마트기기 UI/UX 디자인(디지털앱&웹디자인,웹퍼블리셔)",더조은컴퓨터아트학원,70,3146640,20,54.3,,08_문화 예술 디자인 방송,디자인
1459,2202,3D프린팅융합제품디자인양성과정,고려IT직업전문학교,94,4045880,25,80.4,,08_문화 예술 디자인 방송,디자인
1460,2203,웹퍼블리셔(UIUX반응형웹디자인)전문가 양성과정(A),그린컴퓨터아카데미 수원,104,4270440,24,64.2,,08_문화 예술 디자인 방송,디자인
