,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
3068,ncs요양보호사국가자격증과정,부모사랑제2캠퍼스요양보호사교육원,30,600000,40,75.0,59.0,06_보건의료,요양보호사,,
3069,요양보호사자격증 취득과정(사회복지사),천안베스트간호학원 부설 요양보호사교육원,15,250000,33,51.3,,06_보건의료,요양보호사,,
3070,요양보호사자격증 취득과정,대신요양보호사교육원,30,480000,40,52.3,,06_보건의료,요양보호사,,
3071,요양보호사 자격취득과정 (구직자),꽃담요양보호사교육원,30,700000,30,55.9,,06_보건의료,요양보호사,,
3072,요양보호사국가자격증취득-NCS,주은요양보호사교육원,30,640800,32,55.7,59.0,06_보건의료,요양보호사,,
3073,국제의료관광코디네이터 자격증취득과정,아바평생교육원,23,997740,11,56.4,,06_보건의료,국제의료관광코디네이터,,
3074,요양보호사 국가자격증 취득과정(NCS비적용),인천일신요양보호사교육원,30,648000,40,62.2,,06_보건의료,요양보호사,,
3075,요양보호사 자격증 취득과정,새롬요양보호사교육원,30,680000,40,45.6,,06_보건의료,요양보호사,,
3076,성공취업 간호조무사 국가자격 취득 (구직자),현대간호학원,194,3230000,35,74.5,,06_보건의료,간호조무사,,
3077,요양보호사자격증취득과정,제이성모요양보호사교육원,30,650000,30,65.0,,06_보건의료,요양보호사,,
3078,간호조무사자격증 취득과정,장유간호학원,322,3028960,30,86.0,,06_보건의료,간호조무사,,
3079,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,,06_보건의료,요양보호사,,
3080,A+요양보호사자격취득,(주)북부산요양보호사교육원,31,720000,29,51.0,,06_보건의료,요양보호사,,
3081,요양보호사 국가자격증 취득과정,신천요양보호사교육원,30,640800,38,50.4,,06_보건의료,요양보호사,,
3082,요양보호사자격증취득과정,명성요양보호사교육원,42,510000,40,36.4,,06_보건의료,요양보호사,,
3083,요양보호사 국가자격 취득과정,인천서부요양보호사교육원,31,600000,40,46.2,,06_보건의료,요양보호사,,
3084,요양보호사 자격취득과정,마산여성인력개발센터(부설요양보호사교육원),50,552000,36,69.6,,06_보건의료,요양보호사,,
3085,간호조무사자격과정,한빛간호학원,199,3496000,33,69.6,,06_보건의료,간호조무사,,
3086,요양보호사 자격 취득과정,안성의료복지사회적협동조합 부설 안성요양보호사교육원,30,650000,30,60.9,,06_보건의료,요양보호사,,
3087,요양보호사 자격취득-야간반,경인요양보호사교육원,49,640560,40,56.2,,06_보건의료,요양보호사,,
3088,요양보호사자격취득과정,마음모아요양보호사교육원,30,500160,40,59.1,56.0,06_보건의료,요양보호사,,
